cast,pop,beds
500054,30561,55466
500089,48773,17610
500097,71769,11892
500119,131793,9226
500143,83968,12202
500178,104185,10150
500186,41429,4634
500208,104918,1356
500216,55602,8374
500224,113200,6501
538060,2866,NA
538078,552,NA
538124,1202,223
538175,2247,170
538205,3487,NA
538213,15262,266
538302,3272,NA
538353,1431,NA
538361,3448,NA
538388,318,NA
538400,979,NA
538531,320,NA
538736,2414,68
538931,9486,62
538949,10352,NA
539007,3894,NA
539449,3564,NA
539465,631,NA
539589,809,NA
539601,8486,NA
539635,4193,NA
539678,3106,NA
539694,59906,148
539724,3086,NA
539791,3067,NA
539864,9995,NA
539899,5218,NA
547034,75741,NA
547042,9654,848
547051,9746,NA
547107,53515,NA
547115,2450,NA
547140,1541,NA
547158,3039,NA
547174,24235,NA
547271,6982,388
547298,3539,NA
547301,4006,NA
547310,10379,NA
547328,1237,217
547344,6768,NA
547361,47025,648
547379,2527,NA
547387,31296,388
547395,6126,NA
547409,2205,NA
547417,16996,NA
