nazev,lon,lat
Restaurace u Čébi,14.5195117,50.1586118
Bartek,14.5276043,50.154436
Pub on the pitch,14.4469115,50.1478251
U Herčíků,14.5312914,50.1528506
KINO Music Club,14.5260528,50.1516497
Beer bar Chmeloun,14.4315107,50.14379
Bar Chýše,14.432569,50.141162
V ohbí řeky,14.3940333,50.135881500000004
Vinárna U Páji,14.5785009,50.1455182
At the Unicorn,14.566339,50.151656
Restaurace pod Hvězdárnou,14.4775684,50.1431974
Vinotéka Mucho Gusto,14.4499764,50.1400917
Kozlovna,14.432133,50.135742
Bar Sever,14.3777638,50.1331971
Klub C,14.3761879,50.1299548
SOUTH club,14.3769783,50.1307752
U Kačera,14.5789784,50.1436337
NEW TRIO BAR,14.5109564,50.140859
Pub U Jeníka,14.5050597,50.1395632
Bílovická vinárna Letňany,14.5055098,50.1399074
Snackbar Na Kotvě,14.5097208,50.1403949
Pivovar Šedivák,14.4244135,50.1314236
Grey,14.4244453,50.13142
Hospoda Na Růžku,14.4219257,50.1312702
Bonaccia Pizzeria,14.414315,50.1322953
"SPORT GAMES WIN, a.s.",14.4100146,50.1313403
Hoffmanův dvůr,14.582071,50.141862
Motokáry Praha - Maximální jízda,14.518207,50.136672
Hospoda Radegast,14.5146132,50.1365443
Lahváček,14.5145875,50.136518
Bar Letka,14.5106702,50.1355291
Sportbar Klubovna,14.5107766,50.1346289
Sportbar Offside,14.5012747,50.1350535
Fruitisimo Letňany,14.502469,50.135731
Surf Arena,14.5021457,50.1340576
Sportovní areál Beachklub Ládví,14.4753348,50.1327954
Sport Bar - Winland,14.4780129,50.1326257
Pivnice na konečné,14.4799416,50.1329923
Radost Bar,14.4810205,50.1302422
Bar Kantáre,14.4704555,50.1334565
Disco club Fleapit,14.451505,50.1297374
Music Bar Veranda,14.4513559,50.1275039
Na Zápraží,14.4453558,50.1304451
Poctivej Výčep,14.4476223,50.1268161
Fruitisimo Krakov,14.4175861,50.1276569
Dřevák,14.4128333,50.1272604
Lucky Casino Bonver,14.4128822,50.1267072
Pilsner Urquell Original Restaurant,14.2688175,50.1104061
club Shelter,14.5559906,50.1314672
The Three Bulls,14.5534162,50.1312517
